Sample_ID,Grade,Prep_of_Mining__Electricity_kWh,Prep_of_Mining__Carbon_kgCO2e,Prep_of_Mining__NaturalGas_Nm3,Prep_of_Mining__WasteWater_L,Prep_of_Mining__LiquidFuel_L,Prep_of_Mining__Fluorine_g,Prep_of_Mining__SO2_g,Actual_Mining__Electricity_kWh,Actual_Mining__Carbon_kgCO2e,Actual_Mining__NaturalGas_Nm3,Actual_Mining__WasteWater_L,Actual_Mining__LiquidFuel_L,Actual_Mining__Fluorine_g,Actual_Mining__SO2_g,Grinding__Electricity_kWh,Grinding__Carbon_kgCO2e,Grinding__NaturalGas_Nm3,Grinding__WasteWater_L,Grinding__LiquidFuel_L,Grinding__Fluorine_g,Grinding__SO2_g,Pressure_Digestion__Electricity_kWh,Pressure_Digestion__Carbon_kgCO2e,Pressure_Digestion__NaturalGas_Nm3,Pressure_Digestion__WasteWater_L,Pressure_Digestion__LiquidFuel_L,Pressure_Digestion__Fluorine_g,Pressure_Digestion__SO2_g,Clarification__Electricity_kWh,Clarification__Carbon_kgCO2e,Clarification__NaturalGas_Nm3,Clarification__WasteWater_L,Clarification__LiquidFuel_L,Clarification__Fluorine_g,Clarification__SO2_g,Precipitation__Electricity_kWh,Precipitation__Carbon_kgCO2e,Precipitation__NaturalGas_Nm3,Precipitation__WasteWater_L,Precipitation__LiquidFuel_L,Precipitation__Fluorine_g,Precipitation__SO2_g,Seed_Separation__Electricity_kWh,Seed_Separation__Carbon_kgCO2e,Seed_Separation__NaturalGas_Nm3,Seed_Separation__WasteWater_L,Seed_Separation__LiquidFuel_L,Seed_Separation__Fluorine_g,Seed_Separation__SO2_g,Washing_Filtering_1__Electricity_kWh,Washing_Filtering_1__Carbon_kgCO2e,Washing_Filtering_1__NaturalGas_Nm3,Washing_Filtering_1__WasteWater_L,Washing_Filtering_1__LiquidFuel_L,Washing_Filtering_1__Fluorine_g,Washing_Filtering_1__SO2_g,Washing_Filtering_2__Electricity_kWh,Washing_Filtering_2__Carbon_kgCO2e,Washing_Filtering_2__NaturalGas_Nm3,Washing_Filtering_2__WasteWater_L,Washing_Filtering_2__LiquidFuel_L,Washing_Filtering_2__Fluorine_g,Washing_Filtering_2__SO2_g,Calcination__Electricity_kWh,Calcination__Carbon_kgCO2e,Calcination__NaturalGas_Nm3,Calcination__WasteWater_L,Calcination__LiquidFuel_L,Calcination__Fluorine_g,Calcination__SO2_g,electricity_kwh,carbon_kgco2e,naturalGas_nm3,wastewater_l,Total__LiquidFuel_L,flourine_g,so2_g
H-001,High,0.015372536,0.009434324,0.001032384,0.129138179,0.003459023,0.000197659,0.001618441,0.041534869,0.024413157,0.003081384,0.293048735,0.008302065,0.000506049,0.003617344,0.109650493,0.069975765,0.004746792,0.507856183,0.005727593,0.000743508,0.005903053,0.276839132,0.160540226,0.018575252,0.972780864,0.012066554,0.00113094,0.007131494,0.096996807,0.057154088,0.003879659,0.710199041,0.003997301,0.000378846,0.003123382,0.084506204,0.050522159,0.003157058,0.420115814,0.002524608,0.000622154,0.002521421,0.049710879,0.027578455,0.001852148,0.289202337,0.001465452,0.000315857,0.002034362,0.060181967,0.039631964,0.001471119,0.463753872,0.002164226,0.000252372,0.002197784,0.042153721,0.025598024,0.001016563,0.335608722,0.001366458,0.000158515,0.001322557,0.329066384,0.228937784,0.03203436,0.199279899,0.01575265,0.001018082,0.008709696,1.106012992,0.693785946,0.070846719,4.320983645,0.056825928,0.005323981,0.038179534
H-002,High,0.015271047,0.010230567,0.000998209,0.129387862,0.003041545,0.000208219,0.001506529,0.039401985,0.025114701,0.002701865,0.296704922,0.008651773,0.000536947,0.003896346,0.115149038,0.070193675,0.005228851,0.508218778,0.005841072,0.000820531,0.005526696,0.29356103,0.154383575,0.019672338,0.980394592,0.011121891,0.001217767,0.007091369,0.100025567,0.057319697,0.003716926,0.636329027,0.003931457,0.000383954,0.002975807,0.091818229,0.054715465,0.003530551,0.455794884,0.002490694,0.000542437,0.002496686,0.050150576,0.031448539,0.001980764,0.30452321,0.001497397,0.00028247,0.002114282,0.068481379,0.040542512,0.001431796,0.513667063,0.001952806,0.000247042,0.002329998,0.04182082,0.025263813,0.001004983,0.31194439,0.001291454,0.000160549,0.001325639,0.358287868,0.209886333,0.032324902,0.192167467,0.014758454,0.001040676,0.008446111,1.173967539,0.679098878,0.072591183,4.329132195,0.054578541,0.005440592,0.037709463
H-003,High,0.015170595,0.010120893,0.000919626,0.121107803,0.003545479,0.000207818,0.001407229,0.037359087,0.025652427,0.003044548,0.303757393,0.00864724,0.000482999,0.004046451,0.121758435,0.069428335,0.005466444,0.511845823,0.005642609,0.000826262,0.005231963,0.291019184,0.169268765,0.019179318,1.048168806,0.012247669,0.001249324,0.007663878,0.098773059,0.055814165,0.003822097,0.623486166,0.00398458,0.000406823,0.003041504,0.093722325,0.050032505,0.003754368,0.444045221,0.002840021,0.00061877,0.002392855,0.047322769,0.028675461,0.001977654,0.310710007,0.001535493,0.000298908,0.001915321,0.061001004,0.038129296,0.00156423,0.48513825,0.001969197,0.000242078,0.002140458,0.042055514,0.026199843,0.00100291,0.301712475,0.001425045,0.000164486,0.001475814,0.368441536,0.204845637,0.028593262,0.205150353,0.015385339,0.001025752,0.010733729,1.176623508,0.678167326,0.069324457,4.355122298,0.057222673,0.005523221,0.0400492
H-004,High,0.015428168,0.010039394,0.0010477,0.123908348,0.003444828,0.00020759,0.001442038,0.039526363,0.024393296,0.003012281,0.334719879,0.007706412,0.000517157,0.003677457,0.117168409,0.075920222,0.00501607,0.473056381,0.005785409,0.000827184,0.005299149,0.28303042,0.160364575,0.0193484,1.107197204,0.012380351,0.001078491,0.007065259,0.096691068,0.060472057,0.003841496,0.646271066,0.004100997,0.000417315,0.002819956,0.088494744,0.048812637,0.003385667,0.48972272,0.002550623,0.000562173,0.002614733,0.05530539,0.029445451,0.001848063,0.292736489,0.001595018,0.000289385,0.002044382,0.068556292,0.037192486,0.001495536,0.402209584,0.001992439,0.000236969,0.001968983,0.047591305,0.024140816,0.000977998,0.322091849,0.001500889,0.000148513,0.001481421,0.350179079,0.209203405,0.030693155,0.201990597,0.014549837,0.00100349,0.008826609,1.161971238,0.679984337,0.070666366,4.393904116,0.055606805,0.005288267,0.037239986
H-005,High,0.015085138,0.009814512,0.001079301,0.112573107,0.003873281,0.000180479,0.001488616,0.041176634,0.02535124,0.002906595,0.296878166,0.008290475,0.000485266,0.00416992,0.122142093,0.069505525,0.0052249,0.507682488,0.006243859,0.000825185,0.005272026,0.272157465,0.165978349,0.02061037,0.99895492,0.012070396,0.00127666,0.00679295,0.102735487,0.057413641,0.003956464,0.685710248,0.004165083,0.00041627,0.003195822,0.090094517,0.051704882,0.003445703,0.457293743,0.002483732,0.00060291,0.002574395,0.047954448,0.030929342,0.001899398,0.281787171,0.001586858,0.000311875,0.002062412,0.06807354,0.038976119,0.001432706,0.481819309,0.002028898,0.000251701,0.002084559,0.042183906,0.025582198,0.001020647,0.310980407,0.001342445,0.000161949,0.001417148,0.341128494,0.214818579,0.030348075,0.185519157,0.013944402,0.000964078,0.008903949,1.142731724,0.690074388,0.071924159,4.319198716,0.056029429,0.005476374,0.037961797
H-006,High,0.015233181,0.010200794,0.001042883,0.119040369,0.003496672,0.000189975,0.001498612,0.039422683,0.025403398,0.002875915,0.307790198,0.009151414,0.000497281,0.004080342,0.124140864,0.070555606,0.005056023,0.50031481,0.006029303,0.00076908,0.00550674,0.286971976,0.171609149,0.020959271,1.107659123,0.011539591,0.001252339,0.00706417,0.110949015,0.055655935,0.003832056,0.630519739,0.003575221,0.000389485,0.00288613,0.090676772,0.05085439,0.00382833,0.471384536,0.002427887,0.000573048,0.00256149,0.046699417,0.030564042,0.002117944,0.292962365,0.001371515,0.000320308,0.001988546,0.070084794,0.035890866,0.001455047,0.480125849,0.002104933,0.000234599,0.002165399,0.041651235,0.025814907,0.001006015,0.328231021,0.001449813,0.000151003,0.001292612,0.372359344,0.223655454,0.02887727,0.21551152,0.015086756,0.001058965,0.009030383,1.19818928,0.700204542,0.071050754,4.45353953,0.056233105,0.005436082,0.038074424
H-007,High,0.016545561,0.010333787,0.000987552,0.125829426,0.003612941,0.000213686,0.001427631,0.041372103,0.026323031,0.002736189,0.282251122,0.007633326,0.000493265,0.004143508,0.129014142,0.072266741,0.005407154,0.465497464,0.005488985,0.000797778,0.005605618,0.279542274,0.143460463,0.01991088,0.934776525,0.012401804,0.001221996,0.006671042,0.097430665,0.054928281,0.003987464,0.681042125,0.003802855,0.000410081,0.002920461,0.086432072,0.049732424,0.003318833,0.437542891,0.002350265,0.000658942,0.002504408,0.048250686,0.028299572,0.001988767,0.296685456,0.001546063,0.000311363,0.00194695,0.0640998,0.038463649,0.001327356,0.443635415,0.002243522,0.00025974,0.002073851,0.045268425,0.026404625,0.001153944,0.337913199,0.001391046,0.000152356,0.001287549,0.353560614,0.211680142,0.027866619,0.193534271,0.014188839,0.001084357,0.009396738,1.161516342,0.661892715,0.068684758,4.198707893,0.054659645,0.005603563,0.037977756
H-008,High,0.014994021,0.010202973,0.001003868,0.114832295,0.003766547,0.000205389,0.001422207,0.039619323,0.023905477,0.00279258,0.313892663,0.009311502,0.000465036,0.004112594,0.116096145,0.070246349,0.004851902,0.478400231,0.006014556,0.000766762,0.005574376,0.279296666,0.158088416,0.019092436,0.971161433,0.012453235,0.001230055,0.006657856,0.100496662,0.060179023,0.003666119,0.667659206,0.003867475,0.000411412,0.002885511,0.081878031,0.045931144,0.003508415,0.455843756,0.00238696,0.000619158,0.00229231,0.049834801,0.026304577,0.001934816,0.30071098,0.001435469,0.000294232,0.002100629,0.064096257,0.0406296,0.001415272,0.4927153,0.002251365,0.00021034,0.002016326,0.045269559,0.025736041,0.001018557,0.310336237,0.001406061,0.000158755,0.001481745,0.354452365,0.223713629,0.029382185,0.195123938,0.014675581,0.001019723,0.008810557,1.146033827,0.684937229,0.06866615,4.30067604,0.057568752,0.005380861,0.03735411
H-009,High,0.015217331,0.010485815,0.001043556,0.118043859,0.003710212,0.000195919,0.001347141,0.037983827,0.02266151,0.002947273,0.300276276,0.009212486,0.000508173,0.00395618,0.124976433,0.064039913,0.005058904,0.51927163,0.005556424,0.00084575,0.005593087,0.274185969,0.165062255,0.022270693,1.009093313,0.012148932,0.001172438,0.006702554,0.104151679,0.055517357,0.004014313,0.634476133,0.004095796,0.000406673,0.003155631,0.087704926,0.049325313,0.003328716,0.440003402,0.002547163,0.00062271,0.002384729,0.052174015,0.029897893,0.002041343,0.328151937,0.001441966,0.00028133,0.001822128,0.070936946,0.040276013,0.001495831,0.486719247,0.001981824,0.000269349,0.002113568,0.044240669,0.026943497,0.00102405,0.323582144,0.001344667,0.000163772,0.001531742,0.373544851,0.237525053,0.029233176,0.190103952,0.01490566,0.001002786,0.009492386,1.185116647,0.701734618,0.072457857,4.349721892,0.056945129,0.005468901,0.038099146
H-010,High,0.013730652,0.010226536,0.0009921,0.117438714,0.003322882,0.000183451,0.001561738,0.040146636,0.023387549,0.002805738,0.29496323,0.009209334,0.00049351,0.003699371,0.118525542,0.071018195,0.004325778,0.498642628,0.00593072,0.000827848,0.006008463,0.29577191,0.15784889,0.018893474,1.12866799,0.012035531,0.001200836,0.006991556,0.100990424,0.057581355,0.003885268,0.632227084,0.003993449,0.000389132,0.002893073,0.090478936,0.049362557,0.003763199,0.390353179,0.002636438,0.000637383,0.002240826,0.049143281,0.027479983,0.001859249,0.28833275,0.001416707,0.000326284,0.002093568,0.070196132,0.040407261,0.001415321,0.467411514,0.002151384,0.000225334,0.002174865,0.043471284,0.025512733,0.001035548,0.327108213,0.001374732,0.000169275,0.001324326,0.360778873,0.226524114,0.02953568,0.20326133,0.014061665,0.001046201,0.008916794,1.183233669,0.689349173,0.068511355,4.348406632,0.056132843,0.005499254,0.03790458
H-011,High,0.014607958,0.009998279,0.000964783,0.111549232,0.00322759,0.00020606,0.001403968,0.043509588,0.022397588,0.003254468,0.303165262,0.008458897,0.000486377,0.004079827,0.119774192,0.075971887,0.005028557,0.503757544,0.005890916,0.000797722,0.005584645,0.256057643,0.149214517,0.020743264,1.008543272,0.01188961,0.001201106,0.007121654,0.097301202,0.055742916,0.004039169,0.618202885,0.004081651,0.000365948,0.003154373,0.092126689,0.050640074,0.003671971,0.487473175,0.002626796,0.000544774,0.002340053,0.048437954,0.028036527,0.002051766,0.289113843,0.001514008,0.000288669,0.001938848,0.061358018,0.037199695,0.001398624,0.456579042,0.002210632,0.000228607,0.0023764,0.045085299,0.026240287,0.000957082,0.331204958,0.001359705,0.000160976,0.001579206,0.348318952,0.232642007,0.028945235,0.199650115,0.0163281,0.000968652,0.009815602,1.126577494,0.688083778,0.071054919,4.309239328,0.057587906,0.005248892,0.039394576
H-012,High,0.015530814,0.009232828,0.00103162,0.125835327,0.003608817,0.000184298,0.001445465,0.039504963,0.024906958,0.003093101,0.302665515,0.007932479,0.000509505,0.004122117,0.123358743,0.075890811,0.005208481,0.511479502,0.00597895,0.000733562,0.005618145,0.282907628,0.162172631,0.018723251,0.945947173,0.012631892,0.001197627,0.007238525,0.100141592,0.058086293,0.004187657,0.633228546,0.004019224,0.000390754,0.002934826,0.088608725,0.050555334,0.003416219,0.478254513,0.002388174,0.000594394,0.002445034,0.053617445,0.028275177,0.002103184,0.277716594,0.001520029,0.000313344,0.002008228,0.069516085,0.037991288,0.001605701,0.535173555,0.002061902,0.000234654,0.002252605,0.047475059,0.025320282,0.000978991,0.315491446,0.001305888,0.000152651,0.00132971,0.336563543,0.219618466,0.030351322,0.215505005,0.014251234,0.001049216,0.008903705,1.157224596,0.692050067,0.070699527,4.341297176,0.055698589,0.005360005,0.03829836
H-013,High,0.014962902,0.009820539,0.000943864,0.122294458,0.003529129,0.000204925,0.001521688,0.0449106,0.024202825,0.00292035,0.290652892,0.008263922,0.000484065,0.004237803,0.128523025,0.069945313,0.004791911,0.511785389,0.005834333,0.000825317,0.005555804,0.258779582,0.172380042,0.021795878,0.969360565,0.011767379,0.001217152,0.00711706,0.103292721,0.063829593,0.003964611,0.62405534,0.003724136,0.000385381,0.002995031,0.09807551,0.048705972,0.003539163,0.449630485,0.002648549,0.000675808,0.002433641,0.048776401,0.029461825,0.002068189,0.32770061,0.001543795,0.000294611,0.002059065,0.069658722,0.04059994,0.001538046,0.505600193,0.002222776,0.000256586,0.002168115,0.04363234,0.026190728,0.001060325,0.306929029,0.001425807,0.000156853,0.001402012,0.372372908,0.22210209,0.030069655,0.186401439,0.01555969,0.001032274,0.009973465,1.182984713,0.707238867,0.072691992,4.2944104,0.056519517,0.005532972,0.039463684
H-014,High,0.014769166,0.009604096,0.001012469,0.12946472,0.003483323,0.00020279,0.001545592,0.040373218,0.024441958,0.003029113,0.316104476,0.008063731,0.000503324,0.003859976,0.12717028,0.066516527,0.00486027,0.509430297,0.006469657,0.00079737,0.00534732,0.306336199,0.148415889,0.017801194,1.022000723,0.011698767,0.001138726,0.007247925,0.101219004,0.056364172,0.003743939,0.678354863,0.00413004,0.000398016,0.003276996,0.085184619,0.046186187,0.003378916,0.448974315,0.002530417,0.000592763,0.002544007,0.046871151,0.03002127,0.001991785,0.316759437,0.001525704,0.000306851,0.002056977,0.067477438,0.040253309,0.001599686,0.484716508,0.002174445,0.000238923,0.002251212,0.042511937,0.028341223,0.000997992,0.297107598,0.001408967,0.000154552,0.001458845,0.33857908,0.215091982,0.027165689,0.195476937,0.013182091,0.000920805,0.009342187,1.170492092,0.665236614,0.065581054,4.398389874,0.054667144,0.005254121,0.038931036
H-015,High,0.01558935,0.009702092,0.000951651,0.119713732,0.00349937,0.000188416,0.001612755,0.041754725,0.024723795,0.003004033,0.303125742,0.007632263,0.000493821,0.003863603,0.11399028,0.070988039,0.005449422,0.516021072,0.005828646,0.000822903,0.005884823,0.292944872,0.160477043,0.019353063,1.034911166,0.012236091,0.001253712,0.00722231,0.105247764,0.056447818,0.004263479,0.656421987,0.004415052,0.000386216,0.003260395,0.090890599,0.048371455,0.00341532,0.442792186,0.002553021,0.000615685,0.002428287,0.049939114,0.030999179,0.002172754,0.306544855,0.00150285,0.0003018,0.002061352,0.062624785,0.038498116,0.001374856,0.489581355,0.002167956,0.000234202,0.002265269,0.041303316,0.024096313,0.001011223,0.336753573,0.001517875,0.000156329,0.001475508,0.349326102,0.2181011,0.03132549,0.206523229,0.013817706,0.001073827,0.009621041,1.163610904,0.682404949,0.072321291,4.412388896,0.055170829,0.005526911,0.039695342
H-016,High,0.014530828,0.009688007,0.001024702,0.121564043,0.003403697,0.000193284,0.001498083,0.042345458,0.0256795,0.002944408,0.311575481,0.007289369,0.000528719,0.003652057,0.117825354,0.067969188,0.00467633,0.52902067,0.00585969,0.00081386,0.005487097,0.286678572,0.160614575,0.018717008,1.049813341,0.011703746,0.001106605,0.00685016,0.107503799,0.060465643,0.00393027,0.638649125,0.003935673,0.000441535,0.00305729,0.091935187,0.052575709,0.003541788,0.444171552,0.002475456,0.000597852,0.002495347,0.051819074,0.028072724,0.002073264,0.298789251,0.001505898,0.000270027,0.002091633,0.067143412,0.04094612,0.001282781,0.530120993,0.002085343,0.000253298,0.00199081,0.045348103,0.02463056,0.000968812,0.350624502,0.001386652,0.000161739,0.001460905,0.358674433,0.221654608,0.030547442,0.224034156,0.014956786,0.001010055,0.009472794,1.18380422,0.692296634,0.069706802,4.498363112,0.05460231,0.005376975,0.038056177
H-017,High,0.015829144,0.010063839,0.001031937,0.113141971,0.003785851,0.000188537,0.001522698,0.038491448,0.024919827,0.003049314,0.304820358,0.008679316,0.000540343,0.004090707,0.11853506,0.075470714,0.005297368,0.469309805,0.00617922,0.000828047,0.00541817,0.299259895,0.158799555,0.020125576,0.991346409,0.012009347,0.001134223,0.006495982,0.107972525,0.055543812,0.003801722,0.580014821,0.003872208,0.000373538,0.003246302,0.094544177,0.048279624,0.003894176,0.472089723,0.002459396,0.000525018,0.002786368,0.046526069,0.025696442,0.002102257,0.336596286,0.00160382,0.000308459,0.002059475,0.068816271,0.040479911,0.001521089,0.482500826,0.002093428,0.000230952,0.002070529,0.040275495,0.025872158,0.00095057,0.302342571,0.001412593,0.000171136,0.001464282,0.322516239,0.20911409,0.031411157,0.190175126,0.014831525,0.001027503,0.008564245,1.152766325,0.674239973,0.073185166,4.242337897,0.056926704,0.005327755,0.037718759
H-018,High,0.015079032,0.008866338,0.000969932,0.121918692,0.003221226,0.000204405,0.001498527,0.04110498,0.025279893,0.003204621,0.301878368,0.008317503,0.000503057,0.00410866,0.12029316,0.07214613,0.004824502,0.483427477,0.005579218,0.000869983,0.005157938,0.270299327,0.154252742,0.020894924,0.985252516,0.012748645,0.001159591,0.007097648,0.095823265,0.064220932,0.00376248,0.660069173,0.004126755,0.000408276,0.002972207,0.089415807,0.050109529,0.003474275,0.47168728,0.002776315,0.000583275,0.002328775,0.049779295,0.031611593,0.001919633,0.324586752,0.001625828,0.000291696,0.002056898,0.071373709,0.038260701,0.001484731,0.466039658,0.001993451,0.000232209,0.001971486,0.044074984,0.024999035,0.001011689,0.29510567,0.001423162,0.000166668,0.001260439,0.35654599,0.233504359,0.028185538,0.216725724,0.015314264,0.000964749,0.008974904,1.153789548,0.703251251,0.069732326,4.326691309,0.057126367,0.00538391,0.037427481
H-019,High,0.015418745,0.009536103,0.001026938,0.114475958,0.003529638,0.000185863,0.001491658,0.038192185,0.024080588,0.003185414,0.316369652,0.008758884,0.000472692,0.003936718,0.127278586,0.072510181,0.005579832,0.509832946,0.006057615,0.000787635,0.005536724,0.277865422,0.165664869,0.020956702,0.960700527,0.01120126,0.001089828,0.007177797,0.094483167,0.051756617,0.004077716,0.731022484,0.003998786,0.00041677,0.003012274,0.089554997,0.052297691,0.003449202,0.456016327,0.002540212,0.000579957,0.002624005,0.049562601,0.026941957,0.002053651,0.28652298,0.001502114,0.000299863,0.00210859,0.067566504,0.038951197,0.001561332,0.513364981,0.00215857,0.000240124,0.001962257,0.04165675,0.025603208,0.000969524,0.317008459,0.001403965,0.000164238,0.001395065,0.358513779,0.220709219,0.0270368,0.190606646,0.014891934,0.000939515,0.009269968,1.160092735,0.68805163,0.069897112,4.395920961,0.056042978,0.005176485,0.038515057
H-020,High,0.016148063,0.010078912,0.000989328,0.128944357,0.003526017,0.000196629,0.001453995,0.039395061,0.024514779,0.003025562,0.30240861,0.008501295,0.000510923,0.004238129,0.125697325,0.066654367,0.00436152,0.523357998,0.005589936,0.000791009,0.005178219,0.254772274,0.164331702,0.020759155,0.97117448,0.010445375,0.001167225,0.007137131,0.092605442,0.058531744,0.003996938,0.668826974,0.004023916,0.000380539,0.003179486,0.089286617,0.049931739,0.003336678,0.440026149,0.0023894,0.000594812,0.002713964,0.046570247,0.025741014,0.002147117,0.296860145,0.00144982,0.000315599,0.001939438,0.072025832,0.040321955,0.001463407,0.531775397,0.0020364,0.000248905,0.002131426,0.046863831,0.028029965,0.0010016,0.307945314,0.001432198,0.000154578,0.001540937,0.352389368,0.215981463,0.03027702,0.186528737,0.014271289,0.001060021,0.008704398,1.13575406,0.684117639,0.071358326,4.357848161,0.053665645,0.00542024,0.038217123
H-021,High,0.014214817,0.00975491,0.001059285,0.12431372,0.003674308,0.000192432,0.001393364,0.043002667,0.02459665,0.002962375,0.319922912,0.008736398,0.000511397,0.004433,0.116138891,0.075340224,0.005014253,0.506714807,0.006458541,0.000820313,0.005648031,0.295015103,0.157080378,0.01916079,0.94775954,0.010820186,0.001323372,0.006613877,0.098893732,0.057197241,0.004061481,0.676511459,0.004172095,0.000388338,0.002974932,0.09127161,0.049378272,0.003781285,0.461046936,0.00259186,0.000619886,0.002646684,0.050452554,0.026184435,0.002039969,0.290229647,0.001460354,0.000308795,0.002123828,0.066070196,0.039602224,0.001627666,0.485778076,0.002373177,0.000246786,0.00191512,0.045657352,0.026495506,0.001064488,0.330770902,0.001390308,0.000150206,0.001385368,0.335115892,0.213614242,0.030882868,0.216699045,0.015296004,0.000940206,0.009200071,1.155832813,0.679244084,0.071654461,4.359747045,0.056973229,0.005501733,0.038334277
H-022,High,0.015897474,0.009210353,0.000993299,0.120088129,0.003362643,0.000206483,0.001490929,0.040839065,0.023890635,0.002934381,0.31083572,0.008341546,0.000543174,0.003920073,0.121348108,0.075357327,0.004645409,0.45597978,0.005542303,0.000850503,0.005348239,0.31581479,0.155486019,0.020184551,1.077105498,0.013203656,0.00132369,0.007422928,0.105120313,0.059718328,0.004155672,0.632086464,0.00383636,0.000399933,0.002974472,0.087960474,0.051740969,0.003667178,0.451989155,0.002684691,0.000565749,0.002475793,0.048207944,0.025386849,0.001991732,0.298173787,0.001613509,0.000309462,0.001897581,0.072118505,0.041381016,0.001543657,0.474564382,0.001999259,0.000235534,0.002214319,0.04814609,0.028006217,0.000975558,0.302086121,0.001409862,0.000145852,0.001422622,0.347416955,0.214873598,0.027607945,0.205136001,0.014600474,0.000941504,0.007707482,1.202869718,0.68505131,0.068699383,4.328045037,0.056594303,0.005521885,0.036874437
H-023,High,0.014979364,0.01034182,0.001083063,0.117257422,0.003394613,0.000204688,0.001425121,0.040603584,0.0259576,0.00318404,0.298497689,0.008413439,0.00047805,0.003834624,0.118641127,0.073322516,0.005228396,0.479920526,0.006447807,0.000789155,0.005494124,0.269539036,0.140606078,0.020884045,1.036842195,0.011831203,0.001204019,0.007180579,0.092187271,0.056465747,0.004158853,0.609235594,0.004058712,0.000372868,0.003069964,0.089839613,0.04596217,0.003703829,0.43347169,0.002398718,0.000606017,0.00264358,0.047460445,0.028086352,0.002042882,0.310396584,0.001513233,0.000294495,0.001917241,0.066284275,0.036909329,0.001280899,0.490477435,0.002194913,0.000211645,0.001993978,0.045362139,0.028674744,0.00100104,0.308351953,0.001387197,0.000170999,0.001354783,0.33601414,0.214689821,0.028570007,0.201226703,0.016218509,0.001016154,0.008886441,1.120910994,0.661016177,0.071137054,4.285677791,0.057858344,0.00534809,0.037800435
